code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
886,海南高速,路桥,海南,38.72,9.65,9.89,317288.59,211983.42,11646.78,94393.02,0.95,0.11199999999999999,2.73,2.12,19980123,39049.12,0.39,203.93,134.75,45.41,25.37,67317.0
600207,安彩高科,元器件,河南,0.0,6.9,8.63,227245.75,103988.21,73111.31,288135.69,3.34,-0.006999999999999999,2.19,3.19,19990714,-224651.13,-2.6,0.91,-505.14,10.84,-0.46,42335.0
601969,海南矿业,普钢,海南,334.37,19.55,19.55,784471.69,434332.59,158208.88,266620.81,1.36,0.016,2.52,2.91,20141209,-19005.57,-0.1,187.64,123.77,18.33,1.82,31821.0
600215,长春经开,园区开发,吉林,425.8,4.65,4.65,301904.47,195245.69,4292.21,97851.52,2.1,0.018000000000000002,5.23,1.97,19990909,78450.75,1.69,-14.01,-44.11,22.38,3.83,32048.0
300209,天泽信息,软件服务,江苏,49.22,2.44,2.92,256140.47,131878.0,10586.91,148182.86,5.07,0.249,6.98,2.34,20110426,25071.85,0.86,22.56,37.39,37.2,13.02,29038.0
603007,花王股份,建筑施工,江苏,38.82,1.94,3.33,196688.38,106561.3,1421.4,17762.3,0.53,0.24,2.69,4.61,20160826,34307.06,1.03,49.0,29.21,23.43,12.98,27652.0
300256,星星科技,元器件,浙江,48.83,3.96,6.5,888832.63,466973.16,195398.02,258393.02,3.98,0.1,5.18,1.23,20110819,17003.77,0.26,18.42,-29.7,14.34,1.51,42925.0
825,太钢不锈,特种钢,山西,13.27,56.96,56.96,7014549.0,1663906.75,5069305.0,676386.56,1.19,0.379,4.3,1.56,19981021,993493.19,1.74,25.32,154.35,13.17,4.3,231199.0
735,罗 牛 山,农业综合,海南,43.5,10.6,11.52,618940.0,207991.38,180241.88,155903.09,1.35,0.129,3.11,2.4,19970611,72196.31,0.63,116.29,85.11,30.92,13.88,90000.0
300684,中石科技,化工原料,北京,95.4,0.22,0.87,61019.13,33648.35,24754.74,12281.78,1.41,0.342,5.45,7.98,20171227,15325.42,1.76,0.0,0.0,34.84,10.49,45590.0
300693,盛弘股份,电气设备,深圳,47.37,0.23,0.91,78534.15,76455.4,1210.45,35047.78,3.84,0.57,6.33,4.39,20170822,12563.21,1.38,0.0,0.0,50.4,11.96,16931.0
300141,和顺电气,电气设备,江苏,131.46,1.63,2.55,103825.86,89381.46,9061.4,23255.88,0.91,0.053,2.74,3.37,20101112,21179.24,0.83,34.16,-11.64,22.29,3.63,27730.0
2190,成飞集成,汽车配件,四川,9481.21,3.45,3.59,906465.5,470228.09,283566.25,97584.71,2.72,0.002,5.11,4.2,20071203,33715.1,0.94,-21.19,-99.32,20.12,0.06,51418.0
300740,御家汇,日用化工,湖南,45.19,0.4,1.6,85748.68,71829.68,10485.24,11904.9,0.74,0.991,4.5,9.95,20180208,29267.01,1.83,40.61,114.85,52.63,9.63,78015.0
603069,海汽集团,公路,海南,49.64,1.74,3.16,180434.95,63707.68,45488.45,37640.39,1.19,0.15,3.38,2.93,20160712,32371.55,1.02,0.66,-10.62,20.88,5.67,24866.0
600579,天华院,化工机械,山东,0.0,4.11,4.11,174226.13,134148.17,20405.32,158476.55,3.86,-0.032,2.9,3.22,20020809,-83370.59,-2.03,-10.07,-649.42,19.91,-4.8,10787.0
600238,海南椰岛,红黄药酒,海南,775.46,4.45,4.48,174418.52,139633.19,22147.02,12748.6,0.28,0.008,1.94,4.09,20000120,16944.24,0.38,61.36,105.3,27.46,0.5,29905.0
300707,威唐工业,专用机械,江苏,32.29,0.2,0.79,78813.49,59395.21,12535.26,34471.37,4.39,1.22,7.22,5.47,20171010,13002.28,1.65,0.0,0.0,46.67,21.59,39302.0
2925,盈趣科技,元器件,福建,43.96,0.75,4.55,230804.05,201431.2,14908.24,9387.63,0.21,1.6380000000000001,3.76,25.53,20180115,87310.4,1.92,0.0,0.0,48.9,32.26,0.0
2891,中宠股份,饲料,山东,41.13,0.25,1.0,100661.18,71017.93,16723.21,40538.34,4.05,0.76,6.8,4.79,20170821,16095.98,1.61,0.0,0.0,25.78,8.17,21650.0
